@RELATION iris 

@ATTRIBUTE X	NUMERIC
@ATTRIBUTE Y 	NUMERIC
@ATTRIBUTE Drift 	{SI,NO}

@DATA
-0.42567567567567566,0.08833922261484095,SI
0.22972972972972983,0.3286219081272084,SI
-0.11486486486486491,-0.667844522968198,SI
-0.10810810810810811,0.03886925795053009,SI
0.6283783783783783,0.4134275618374559,SI
0.6418918918918919,0.40636042402826855,SI
0.6351351351351351,-0.14487632508833925,SI
0.3648648648648649,-0.43462897526501765,SI
-0.3783783783783784,-0.4770318021201413,SI
-0.8445945945945946,-0.14487632508833925,SI
-0.6554054054054055,0.6325088339222615,SI
-0.2635135135135135,0.6113074204946995,SI
0.3581081081081081,0.6749116607773851,SI
0.18243243243243246,0.03886925795053009,NO
-0.45270270270270274,-0.1872791519434629,NO
-0.5675675675675675,0.4487632508833923,NO
0.8918918918918919,0.49116607773851584,NO
-0.42567567567567566,-0.7102473498233215,NO
-0.10135135135135132,0.2508833922261484,NO
0.22297297297297303,0.5194346289752649,NO
0.46621621621621623,0.03886925795053009,NO
0.3918918918918919,-0.4134275618374559,NO
-0.14864864864864868,-0.3074204946996466,NO
-0.04054054054054057,-0.773851590106007,NO
0.8243243243243243,-0.9151943462897526,NO
0.6756756756756757,-0.4770318021201413,NO
0.6081081081081081,-0.2508833922261484,NO
0.08783783783783794,-0.2438162544169611,NO
-0.8040540540540541,0.34982332155477036,SI
-0.30405405405405406,-0.49823321554770317,SI
0.3648648648648649,-0.3710247349823321,SI
0.4932432432432432,0.19434628975265023,SI
-0.33108108108108103,0.20141342756183755,SI
-0.7027027027027026,-0.5477031802120141,SI
0.3986486486486487,-0.9081272084805654,SI
-0.027027027027026973,-0.20848056537102477,SI
0.7972972972972974,-0.22968197879858654,SI
-0.8108108108108107,0.6183745583038869,NO
-0.25,0.6325088339222615,NO
0.6013513513513513,0.22261484098939932,NO
0.2364864864864864,-0.03180212014134276,NO
-0.3581081081081081,0.1872791519434629,NO
0.14189189189189189,0.5194346289752649,NO
-0.6216216216216216,-0.2438162544169611,NO
-0.05405405405405406,-0.6537102473498233,NO
0.4932432432432432,-0.4558303886925795,NO
-0.17567567567567566,-0.29328621908127206,NO
-0.5878378378378378,-0.7031802120141343,NO
0.7027027027027026,-0.872791519434629,NO
-0.6148648648648649,-0.02473498233215543,SI
-0.3783783783783784,-0.06713780918727918,SI
-0.4932432432432432,0.02473498233215543,SI
-0.33108108108108103,0.0035335689045936647,SI
-0.5472972972972974,0.5335689045936396,NO
0.08108108108108114,0.7102473498233215,NO
0.5675675675675675,0.6395759717314489,NO
0.7162162162162162,0.34982332155477036,NO
0.8175675675675675,-0.32155477031802115,NO
0.43918918918918926,-0.5618374558303887,NO
-0.013513513513513487,-0.7455830388692579,NO
-0.5878378378378378,-0.6819787985865724,NO
-0.8108108108108107,-0.28621908127208484,NO
-0.7905405405405406,0.02473498233215543,NO
0.14864864864864868,0.2508833922261484,NO
0.14189189189189189,-0.15194346289752647,NO
0.5810810810810811,0.03886925795053009,NO
-0.31756756756756754,0.31448763250883394,NO
-0.8040540540540541,0.3356890459363957,NO
